2026-04-16 10:24:15 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:24:19 | 127.0.0.1 | admin | COMMAND: help
2026-04-16 10:24:24 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:24:27 | 127.0.0.1 | admin | COMMAND: date
2026-04-16 10:24:31 | 127.0.0.1 | admin | COMMAND: uptime
2026-04-16 10:24:40 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:24:40 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:25:33 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:25:33 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:25:33 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:25:33 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:25:33 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:25:33 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:25:33 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:25:33 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:25:33 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:25:33 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:25:33 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:25:33 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:25:33 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:25:33 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:25:33 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:25:33 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:25:33 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:25:33 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:25:33 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:25:33 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:25:33 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:25:33 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:25:33 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:25:33 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:25:33 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:25:33 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:25:33 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:25:33 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:25:33 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:25:33 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:25:33 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:25:33 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:25:33 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:25:33 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:25:33 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:25:33 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:25:33 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:25:33 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:25:33 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:25:33 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:28:25 | 127.0.0.1 | admin | LOGIN SUCCESS
